,DT,Kasus Baru,Sembuh (baru),Meninggal (baru),Kasus (Kumulatif)
0,2020-03-02,2.0,0.0,0.0,2
1,2020-03-03,0.0,0.0,0.0,2
2,2020-03-04,0.0,0.0,0.0,2
3,2020-03-05,0.0,0.0,0.0,2
4,2020-03-06,2.0,0.0,0.0,4
5,2020-03-07,0.0,0.0,0.0,4
6,2020-03-08,2.0,0.0,0.0,6
7,2020-03-09,13.0,0.0,0.0,19
8,2020-03-10,8.0,0.0,0.0,27
9,2020-03-11,7.0,2.0,2.0,34
10,2020-03-12,0.0,1.0,2.0,34
11,2020-03-13,35.0,2.0,0.0,69
12,2020-03-14,27.0,3.0,1.0,96
13,2020-03-15,21.0,0.0,0.0,117
14,2020-03-16,17.0,0.0,0.0,134
15,2020-03-17,38.0,1.0,2.0,172
16,2020-03-18,55.0,2.0,12.0,227
17,2020-03-19,82.0,4.0,6.0,309
18,2020-03-20,60.0,1.0,7.0,369
19,2020-03-21,81.0,4.0,6.0,450
20,2020-03-22,64.0,9.0,10.0,514
21,2020-03-23,65.0,1.0,1.0,579
22,2020-03-24,106.0,0.0,6.0,685
23,2020-03-25,105.0,1.0,3.0,790
24,2020-03-26,103.0,4.0,20.0,893
25,2020-03-27,153.0,11.0,9.0,1046
26,2020-03-28,109.0,13.0,15.0,1155
27,2020-03-29,130.0,5.0,12.0,1285
28,2020-03-30,129.0,11.0,8.0,1414
29,2020-03-31,114.0,6.0,14.0,1528
30,2020-04-01,149.0,22.0,21.0,1677
31,2020-04-02,113.0,9.0,13.0,1790
32,2020-04-03,196.0,22.0,11.0,1986
33,2020-04-04,106.0,16.0,10.0,2092
34,2020-04-05,181.0,14.0,7.0,2273
35,2020-04-06,218.0,28.0,11.0,2491
36,2020-04-07,247.0,12.0,12.0,2738
37,2020-04-08,218.0,18.0,19.0,2956
38,2020-04-09,337.0,30.0,40.0,3293
39,2020-04-10,219.0,30.0,26.0,3512
40,2020-04-11,330.0,4.0,21.0,3842
41,2020-04-12,399.0,73.0,46.0,4241
42,2020-04-13,316.0,21.0,26.0,4557
43,2020-04-14,282.0,46.0,60.0,4839
44,2020-04-15,297.0,20.0,10.0,5136
45,2020-04-16,380.0,102.0,27.0,5516
46,2020-04-17,407.0,59.0,24.0,5923
47,2020-04-18,325.0,24.0,15.0,6248
48,2020-04-19,327.0,55.0,47.0,6575
49,2020-04-20,185.0,61.0,8.0,6760
50,2020-04-21,375.0,95.0,26.0,7135
51,2020-04-22,283.0,71.0,20.0,7418
52,2020-04-23,357.0,47.0,11.0,7775
53,2020-04-24,436.0,42.0,42.0,8211
54,2020-04-25,396.0,40.0,31.0,8607
55,2020-04-26,275.0,65.0,23.0,8882
56,2020-04-27,214.0,44.0,22.0,9096
57,2020-04-28,415.0,103.0,8.0,9511
58,2020-04-29,260.0,137.0,11.0,9771
59,2020-04-30,347.0,131.0,8.0,10118
